"id","name","gng","etsng"
"163","Дыни свежие","08071900","042022"
"164","Яблоки свежие","08081000","052024"
"165","Груши свежие","08082050","051125"
"166","Айва свежая","08082090","051021"
"167","Абрикосы свежие","08091000","051017"
"168","Вишня и черешня свежие","08092000",""
"169","Вишня свежая","08092095",""
"170","Персики,нектарины свежие","08093000",""
"171","Сливы свежие","08094005","051267"
"172","Терн свежий","08094090",""
"173","Земляника,клубника свежие","08101000",""
"174","Малина свежая","08102010","051182"
"175","Смородина черная,белая,красная и крыжовник свежие","08103000",""
"176","Смородина белая,крыжовник свежие","08103090",""
"177","Клюква,черника и ягоды рода Vaccinium,свежие","08104000",""
"178","Брусника свежая","08104010","051074"
"179","Клюква,черника свежие","08104090",""
"180","Фрукты,ягоды свежие,к.п.о.","08109095",""
"181","Плоды растений вида Vассiniuм мyrтillus мороженые,без сахара","08119050",""
"182","Плоды,орехи мороженые,без сахара,к.п.о.","08119095",""
"183","Абрикосы сушеные","08131000",""
"184","Чернослив сушеный","08132000","582166"
"185","Яблоки сушеные","08133000","582170"
"186","Фрукты сушеные","08134000",""
"187","Груши сушеные","08134030","582043"
"188","Фрукты сушеные,к.п.о.","08134095",""
"189","Смеси орехов или сушеных плодов,к.п.о.","08135099",""
"190","Кофе нежареный с кофеином","09011100",""
"191","Шелуха кофейная,оболочки зерен кофе,заменители кофе,содержащие кофе","09019000",""
"192","Чай зеленый,неферментированный,","09022000",""
"193","Чай черный,ферментированный,упаковка до 3 кг","09023000",""
"194","Чай черный,ферментированный,","09024000",""
"195","Перец Рiрer;плоды Caрsicum или Рimenta,сушеные,дробленые или молотые","09040000",""
"196","Ваниль","09050000","516037"
"197","Корица и цветы коричного дерева недробленые и немолотые","09061000",""
"198","Гвоздика (целые плоды,цветы и цветоножки)","09070000",""
"199","Кардамон","09083000",""
"200","Семена кориандра","09092000",""
"201","Семена тмина","09094000","024109"
"202","Семена фенхеля,ягоды можжевельника","09095000",""
"203","Имбирь","09101000",""
"204","Шафран","09102000",""
"205","Лавровый лист","09104090",""
"206","Пряности,к.п.о.","09109900",""
"207","Пряности,дробленые или молотые,к.п.о.","09109999",""
"208","Пшеница и меслин","10019000",""
"209","Рожь","10020000","012008"
"210","Ячмень","10030000","014003"
"211","Овес","10040000","013000"
"212","Кукуруза","10059000",""
"213","Рис","10060000","017001"
"214","Рис нешелушенный (рис-сырец)","10061000",""
"215","Рис неполированный","10062000",""
"216","Рис полуобрушенный и обрушенный,полированный и неполированный","10063000",""
"217","Рис дробленый (рис-сечка)","10064000",""
"218","Сорго зерновое","10070000",""
"219","Гречиха","10081000","018019"
"220","Просо","10082000","018095"
"221","Злаки","10089000",""
"222","Злаки прочие,к.п.о.","10089090",""
"223","Мука пшеничная из твердой пшеницы","11010011",""
"224","Мука пшеничная из мягкой пшеницы и спельты","11010015",""
"225","Мука пшенично-ржаная","11010090",""
"226","Мука ржаная","11021000","502000"
"227","Мука кукурузная","11022000","504025"
"228","Мука ячменная","11029010","504059"
"229","Мука овсяная","11029030","504031"
"230","Мука из зерна злаков","11029090",""
"231","Крупа,мука грубого помола из пшеницы","11031100",""
"232","Крупа,мука грубого помола из пшеницы твердой","11031110",""
"233","Крупа,мука грубого помола из кукурузы","11031390",""
"234","Крупа,мука грубого помола из зерна злаков","11031900",""
"235","Крупа,мука грубого помола из ячменя","11031930",""
"236","Крупа,мука грубого помола из овса","11031940",""
"237","Крупа,мука грубого помола из риса","11031950",""
"238","Крупа,мука грубого помола","11031990",""
"239","Зерно овса в хлопьях","11041290",""
"240","Зерно пшеницы плющеное и в хлопьях","11041910",""
"241","Зерно кукурузы плющеное и в хлопьях","11041950",""
"242","Хлопья рисовые","11041991","503253"
"243","Зерно овса обработанное,к.п.о.","11042298",""
"244","Зерно ячменя шелушенное с переработкой в сечку или дробленое","11042903",""
"245","Зерно дробленное,к.п.о.","11042959",""
"246","Мука из сушеных бобовых овощей позиции 0713","11061000",""
"247","Мука из сердцевины саговой пальмы,из корнеплодов или клубнеплодов позиции 0714","11062000",""
"248","Солод неподжаренный,к.п.о.","11071099",""
